SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
 11670/M_1 172.999 1415.67 1190.63
Frame Number: 11670 Latency: 0s  Markers: 3
 11670/M_2 159.556 1397.88 1159.04
 11670/M_3 141.147 1394.18 1138.19
 11673/M_1 178.886 1407.35 1187.71
 11673/M_2 165.667 1389.22 1155.06
 11673/M_3 146.861 1385.52 1136.11
 11676/M_1 182.621 1400.7 1187.91
 11676/M_2 171.128 1380.54 1154.67
 11676/M_3 154.271 1376.21 1134.95
 11679/M_1 187.035 1395.31 1188.58
 11679/M_2 178.41 1372.31 1156.93
 11679/M_3 163.865 1365.65 1134.96
 11682/M_1 190.562 1388.94 1189.4
 11682/M_2 186.302 1363.45 1159.13
 11682/M_3 172.137 1355.47 1136.11
 11685/M_1 195.043 1381.31 1188.64
 11685/M_2 190.197 1354.59 1160.07
 11685/M_3 178.073 1345.73 1136.39
 11688/M_1 199.262 1373.15 1187.7
 11688/M_2 195.137 1345.56 1158.34
 11688/M_3 183.161 1335.85 1136.24
 11691/M_1 202.391 1365.82 1187.62
 11691/M_2 200.521 1336.49 1159.32
 11691/M_3 189.459 1325.66 1137.36
 11694/M_1 204.856 1359.78 1188.64
 11694/M_2 206.035 1328.53 1162.97
 11694/M_3 196.09 1315.63 1141.6
 11697/M_1 207.243 1353.17 1189.26
 11697/M_2 211.559 1320.73 1165.29
 11697/M_3 206.207 1307.97 1143.03
 11700/M_1 210.687 1345.03 1189.18
Frame Number: 11700 Latency: 0s  Markers: 3
 11700/M_2 215.343 1311.83 1166.95
 11700/M_3 206.286 1295.55 1146.72
 11703/M_1 215.018 1335.5 1188.93
 11703/M_2 219.438 1301.41 1167.01
 11703/M_3 210.171 1285.18 1147.54
 11706/M_1 218.891 1325.79 1188.86
 11706/M_2 223.234 1291.02 1167.72
 11706/M_3 215.821 1275.23 1148.42
 11709/M_1 221.602 1317.16 1189.33
 11709/M_2 226.352 1281.64 1170.35
 11709/M_3 219.855 1264.31 1151.47
 11712/M_1 224.022 1308.19 1189.86
 11712/M_2 229.786 1272.18 1172.07
 11712/M_3 223.439 1253.63 1154.23
 11715/M_1 227.073 1298.31 1190.3
 11715/M_2 231.791 1261.58 1173.83
 11715/M_3 225.844 1243.23 1156.07
 11718/M_1 229.934 1287.58 1190.94
 11718/M_2 233.555 1250.42 1174.91
 11718/M_3 226.299 1231.87 1157.49
 11721/M_1 232.252 1277.55 1191.69
 11721/M_2 234.923 1240.05 1176.28
 11721/M_3 227.728 1221.48 1159.21
 11724/M_1 233.949 1268.64 1192.45
 11724/M_2 236.05 1230.72 1177.94
 11724/M_3 228.839 1211.78 1161.34
 11727/M_1 235.532 1260.62 1193.43
 11727/M_2 236.757 1222.43 1179.99
 11727/M_3 229.707 1203.24 1163.42
 11730/M_1 237.269 1252.93 1194.53
Frame Number: 11730 Latency: 0s  Markers: 3
 11730/M_2 237.508 1214.5 1181.23
 11730/M_3 230.161 1195.86 1164.58
 11733/M_1 238.753 1246.2 1195.73
 11733/M_2 238.361 1207.89 1182.42
 11733/M_3 230.849 1189.25 1165.97
 11736/M_1 239.788 1241.39 1196.46
 11736/M_2 239.158 1202.85 1183.93
 11736/M_3 231.414 1183.36 1168.14
 11739/M_1 240.671 1237.89 1196.75
 11739/M_2 240.076 1199.11 1184.77
 11739/M_3 232.446 1179.27 1169.42
 11742/M_1 241.561 1235.04 1196.63
 11742/M_2 240.727 1196.04 1184.94
 11742/M_3 232.963 1176.34 1169.82
 11745/M_1 242.32 1232.85 1196.29
 11745/M_2 240.898 1193.86 1184.79
 11745/M_3 232.981 1174.4 1169.57
 11748/M_1 242.829 1231.87 1195.83
 11748/M_2 241.11 1192.87 1184.37
 11748/M_3 232.864 1173.34 1169.26
 11751/M_1 242.812 1232.36 1195.31
 11751/M_2 241.265 1193.28 1183.99
 11751/M_3 232.92 1173.66 1168.86
 11754/M_1 242.582 1233.94 1194.4
 11754/M_2 241.315 1194.94 1183.19
 11754/M_3 232.974 1175.24 1168.12
 11757/M_1 242.278 1236.14 1193.42
 11757/M_2 240.96 1197.18 1182.17
 11757/M_3 232.617 1177.61 1166.82
 11760/M_1 242.068 1239.09 1192.41
Frame Number: 11760 Latency: 0s  Markers: 3
 11760/M_2 240.807 1200.18 1180.58
 11760/M_3 231.791 1180.55 1165.4
 11763/M_1 241.773 1243.54 1191.04
 11763/M_2 240.532 1204.73 1179.05
 11763/M_3 231.657 1185.23 1163.73
 11766/M_1 241.358 1249.87 1189.58
 11766/M_2 240.482 1210.97 1177.64
 11766/M_3 232.069 1191.43 1162.13
 11769/M_1 241.011 1257.36 1188.06
 11769/M_2 240.744 1218.66 1175.78
 11769/M_3 232.416 1199.04 1160.27
 11772/M_1 240.736 1265.76 1186.61
 11772/M_2 240.719 1227.1 1173.91
 11772/M_3 232.394 1207.68 1158.17
 11775/M_1 240.346 1275.45 1185.07
 11775/M_2 240.885 1237.18 1171.87
 11775/M_3 233.263 1218.11 1155.78
 11778/M_1 239.585 1286.5 1183.54
 11778/M_2 241.352 1248.29 1169.92
 11778/M_3 233.768 1228.81 1154.31
 11781/M_1 238.541 1298.42 1182.15
 11781/M_2 241.439 1260.17 1168.44
 11781/M_3 234.205 1240.49 1152.82
 11784/M_1 237.389 1310.29 1181.02
 11784/M_2 241.464 1272.6 1166.6
 11784/M_3 234.538 1252.81 1150.83
 11787/M_1 236.22 1322.01 1180.1
 11787/M_2 240.745 1284.58 1165.36
 11787/M_3 234.319 1264.85 1149.24
 11790/M_1 234.541 1333.57 1179.69
Frame Number: 11790 Latency: 0s  Markers: 3
 11790/M_2 239.964 1296.38 1164.58
 11790/M_3 234.184 1276.58 1148.24
 11793/M_1 232.321 1344.64 1179.72
 11793/M_2 239.169 1307.91 1164.12
 11793/M_3 233.777 1288.21 1147.71
 11796/M_1 229.802 1354.62 1180.05
 11796/M_2 237.645 1318.39 1163.98
 11796/M_3 232.576 1298.42 1147.35
 11799/M_1 227.238 1363.37 1180.45
 11799/M_2 235.834 1327.6 1163.81
 11799/M_3 234.375 1309.84 1146.73
 11802/M_1 224.362 1371.19 1180.77
 11802/M_2 233.119 1335.6 1163.92
 11802/M_3 228.352 1315.67 1146.81
 11805/M_1 220.935 1378.63 1180.89
 11805/M_2 230.539 1343.19 1163.72
 11805/M_3 226.711 1323.74 1146.58
 11808/M_1 217.463 1385.63 1181.07
 11808/M_2 227.506 1350.69 1163.56
 11808/M_3 223.513 1331.02 1146.26
 11811/M_1 213.426 1392.91 1181.04
 11811/M_2 224.166 1358.28 1163.1
 11811/M_3 219.546 1338.28 1146.02
 11814/M_1 208.706 1400.79 1180.86
 11814/M_2 220.059 1366.77 1162.8
 11814/M_3 218.326 1347.95 1144.82
 11817/M_1 203.419 1409.56 1180.78
 11817/M_2 215.755 1375.38 1162.92
 11817/M_3 214.491 1356.67 1144.87
 11820/M_1 198.061 1418.14 1180.51
Frame Number: 11820 Latency: 0s  Markers: 3
 11820/M_2 211.479 1384.43 1162.26
 11820/M_3 210.276 1365.18 1144.36
 11823/M_1 193.163 1426.24 1180.11
 11823/M_2 207.256 1393.04 1161.3
 11823/M_3 205.652 1373.59 1143.39
 11826/M_1 188.137 1434.38 1179.79
 11826/M_2 202.95 1401.73 1160.64
 11826/M_3 203.572 1383.85 1142.31
 11829/M_1 182.828 1442.49 1179.51
 11829/M_2 198.733 1410.62 1160.02
 11829/M_3 199.342 1392.28 1141.46
 11832/M_1 177.999 1450.07 1178.98
 11832/M_2 194.764 1418.92 1159.03
 11832/M_3 196.34 1401.14 1140.45
 11835/M_1 173.835 1456.83 1178.37
 11835/M_2 190.898 1426.18 1157.94
 11835/M_3 193.194 1408.46 1138.63
 11838/M_1 170.358 1462.36 1178.07
 11838/M_2 187.891 1432.27 1156.98
 11838/M_3 190.193 1414.8 1137.36
 11841/M_1 167.671 1466.34 1177.97
 11841/M_2 185.57 1436.88 1156.36
 11841/M_3 188.072 1419.6 1136.31
 11844/M_1 166.022 1468.44 1177.63
 11844/M_2 184.504 1439.43 1155.87
 11844/M_3 186.126 1422.26 1135.73
 11847/M_1 165.557 1468.44 1177.01
 11847/M_2 184.5 1439.7 1154.79
 11847/M_3 185.59 1422.58 1134.72
 11850/M_1 166.414 1466.42 1175.83
Frame Number: 11850 Latency: 0s  Markers: 3
 11850/M_2 184.507 1437.53 1153.61
 11850/M_3 185.837 1420.31 1133.48
 11853/M_1 167.953 1462.64 1174.58
 11853/M_2 185.383 1433.4 1152.17
 11853/M_3 187.099 1416.51 1131.95
 11856/M_1 170.19 1457.47 1173.32
 11856/M_2 187.158 1427.82 1151.35
 11856/M_3 188.938 1410.85 1130.96
 11859/M_1 172.982 1451.07 1172.28
 11859/M_2 189.809 1421.27 1150.39
 11859/M_3 191.327 1404.05 1130.06
 11862/M_1 176.052 1443.69 1171.56
 11862/M_2 192.17 1413.32 1149.83
 11862/M_3 193.653 1396.02 1129.72
 11865/M_1 179.103 1435.69 1171.39
 11865/M_2 194.886 1404.95 1149.86
 11865/M_3 195.631 1387.81 1129.96
 11868/M_1 182.04 1427.31 1171.72
 11868/M_2 197.2 1396.08 1150.62
 11868/M_3 197.373 1378.93 1130.81
 11871/M_1 184.862 1418.59 1172.43
 11871/M_2 199.844 1387.02 1151.46
 11871/M_3 199.8 1369.69 1131.95
 11874/M_1 187.752 1409.33 1173.53
 11874/M_2 202.295 1377.3 1152.96
 11874/M_3 200.527 1359 1133.6
 11877/M_1 190.885 1399.58 1174.82
 11877/M_2 204.716 1367.14 1154.53
 11877/M_3 204.705 1350.22 1135.25
 11880/M_1 193.842 1389.58 1176.27
Frame Number: 11880 Latency: 0s  Markers: 3
 11880/M_2 207.226 1356.79 1156.22
 11880/M_3 206.529 1339.66 1136.85
 11890/M_1 201.428 1356.85 1181.72
Frame Number: 11890 Latency: 0s  Markers: 3
 11890/M_2 213.409 1323.54 1162.52
 11890/M_3 210.613 1304.9 1144.01
 11893/M_1 203.182 1347.55 1183.32
 11893/M_2 214.228 1313.7 1164.73
 11893/M_3 212.322 1295.73 1145.95
 11895/M_1 204.156 1341.75 1184.36
 11895/M_2 215.202 1307.72 1165.58
 11895/M_3 211.758 1288.93 1147.13
 11898/M_1 205.301 1332.87 1185.96
 11898/M_2 215.697 1298.43 1167.55
 11898/M_3 213.623 1280.85 1148.86
 11901/M_1 206.45 1324.22 1187.51
 11901/M_2 216.432 1289.83 1168.89
 11901/M_3 212.109 1271.3 1150.3
 11904/M_1 207.317 1316.09 1188.93
 11904/M_2 216.497 1281.57 1170.42
 11904/M_3 213.251 1263.63 1151.7
 11907/M_1 207.787 1308.5 1190.23
 11907/M_2 217.187 1273.57 1171.46
 11907/M_3 213.695 1256.51 1152.84
 11910/M_1 208.037 1301.6 1191.53
Frame Number: 11910 Latency: 0s  Markers: 3
 11910/M_2 216.281 1266.79 1173.34
 11910/M_3 211.825 1248.24 1154.52
 11913/M_1 208.339 1294.9 1192.71
 11913/M_2 216.591 1259.91 1174.2
 11913/M_3 211.307 1241.51 1155.66
 11916/M_1 208.708 1288.51 1193.61
 11916/M_2 216.166 1253.24 1175.29
 11916/M_3 210.862 1234.81 1156.66
 11919/M_1 208.631 1282.61 1194.34
 11919/M_2 215.67 1247.18 1176.22
 11919/M_3 210.119 1229.03 1157.45
 11922/M_1 208.354 1277.31 1194.92
 11922/M_2 215.318 1241.77 1176.79
 11922/M_3 209.57 1223.55 1158.26
 11925/M_1 208.104 1272.44 1195.32
 11925/M_2 214.612 1236.93 1177.31
 11925/M_3 209.69 1219.09 1158.52
 11928/M_1 207.758 1268.13 1195.73
 11928/M_2 214.043 1232.47 1177.65
 11928/M_3 208.158 1214.33 1159.12
 11931/M_1 207.078 1264.46 1196.23
 11931/M_2 213.089 1228.77 1178.3
 11931/M_3 207.062 1210.36 1159.8
 11934/M_1 206.205 1261.85 1196.8
 11934/M_2 212.268 1226.08 1178.99
 11934/M_3 207.261 1208.27 1160.34
 11937/M_1 205.331 1260.19 1197.42
 11937/M_2 211.312 1224.24 1179.82
 11937/M_3 206.177 1206.67 1161.13
 11940/M_1 204.696 1259.46 1198.03
Frame Number: 11940 Latency: 0s  Markers: 3
 11940/M_2 210.588 1223.58 1180.43
 11940/M_3 205.594 1205.71 1161.82
 11943/M_1 204.139 1259.92 1198.64
 11943/M_2 210.17 1224 1181.02
 11943/M_3 204.248 1205.58 1162.77
 11946/M_1 203.605 1261.89 1199.31
 11946/M_2 209.622 1225.81 1182.07
 11946/M_3 204.906 1208.04 1163.31
 11949/M_1 203.368 1265.19 1199.94
 11949/M_2 209.634 1229.29 1182.55
 11949/M_3 204.994 1211.4 1164
 11952/M_1 203.273 1269.75 1200.43
 11952/M_2 209.847 1233.92 1182.85
 11952/M_3 205.219 1216.1 1164.29
 11955/M_1 203.179 1275.51 1200.77
 11955/M_2 209.746 1239.7 1183.32
 11955/M_3 205.698 1221.85 1164.57
 11958/M_1 202.982 1282.3 1200.98
 11958/M_2 210.339 1246.71 1183.4
 11958/M_3 205.076 1227.99 1164.98
 11961/M_1 202.839 1289.79 1200.97
 11961/M_2 210.774 1254.47 1183.26
 11961/M_3 206.303 1235.92 1165.13
 11964/M_1 202.643 1297.9 1201.04
 11964/M_2 210.853 1262.66 1183.33
 11964/M_3 206.923 1244.25 1164.93
 11967/M_1 202.272 1306.47 1201.13
 11967/M_2 211.285 1271.49 1183.08
 11967/M_3 206.96 1252.69 1164.73
 11970/M_1 201.948 1315.01 1201.19
Frame Number: 11970 Latency: 0s  Markers: 3
 11970/M_2 211.187 1280.11 1183.32
 11970/M_3 208.222 1261.97 1164.64
 11973/M_1 201.526 1323.37 1201.21
 11973/M_2 211.387 1288.64 1183.2
 11973/M_3 208.751 1270.69 1164.54
 11976/M_1 201.043 1331.59 1201.09
 11976/M_2 211.276 1296.94 1183.16
