SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
... 2033/M_1 0 0 0
 2206/M_3 47.9578 1037.09 1756.39
 2210/M_1 64.4206 1021.97 1761.55
Frame Number: 2210 Latency: 0s  Markers: 3
 2210/M_2 55.5395 1081.23 1750.3
 2210/M_3 66.0147 1053.11 1761.18
 2214/M_1 84.4945 1040.64 1765.93
 2214/M_2 73.3151 1099.64 1757.11
 2214/M_3 84.3484 1071.48 1767.04
 2218/M_1 103.997 1061.07 1771.31
 2218/M_2 90.2885 1119.91 1764.7
 2218/M_3 102.302 1091.98 1773.95
 2222/M_1 122.44 1082.05 1777.54
 2222/M_2 106.227 1140.24 1772.61
 2222/M_3 119.357 1112.8 1781.47
 2226/M_1 139.292 1101.47 1784.77
 2226/M_2 120.777 1158.77 1780.71
 2226/M_3 134.463 1131.8 1789.39
 2230/M_1 153.155 1117.3 1791.45
Frame Number: 2230 Latency: 0s  Markers: 3
 2230/M_2 133.744 1174.14 1787.93
 2230/M_3 147.538 1147.47 1796.47
 2234/M_1 164.604 1129.37 1797.14
 2234/M_2 144.979 1185.83 1793.11
 2234/M_3 158.425 1159.27 1801.7
 2237/M_1 171.791 1135.85 1800.11
 2237/M_2 152.095 1192.12 1795.51
 2237/M_3 165.412 1165.62 1804.22
 2241/M_1 179.386 1141.08 1801.89
 2241/M_2 159.713 1197.2 1797.17
 2241/M_3 173.025 1170.76 1805.88
 2245/M_1 184.938 1143.92 1802.9
 2245/M_2 164.971 1199.63 1797.35
 2245/M_3 178.525 1173.59 1806.38
 2249/M_1 189.586 1144.93 1803.22
 2249/M_2 169.147 1200.13 1796.32
 2249/M_3 182.865 1174.5 1805.85
 2253/M_1 193.901 1142.94 1802.5
 2253/M_2 174.107 1198.17 1795.18
 2253/M_3 187.553 1172.53 1804.81
 2257/M_1 198.776 1139.41 1801.22
 2257/M_2 180.039 1194.91 1793.82
 2257/M_3 192.999 1169.05 1803.5
 2261/M_1 204.707 1135.36 1799.58
 2261/M_2 187.067 1191.28 1792.09
 2261/M_3 199.612 1165.12 1801.84
 2265/M_1 211.687 1130.99 1797.65
 2265/M_2 195.515 1187.39 1790.21
 2265/M_3 207.443 1160.84 1799.84
 2269/M_1 219.538 1126.67 1795.23
 2269/M_2 204.772 1183.73 1788.05
 2269/M_3 216.237 1156.77 1797.55
 2273/M_1 228.214 1123.82 1792.4
 2273/M_2 214.197 1181.09 1784.89
 2273/M_3 225.562 1154.05 1794.58
 2277/M_1 237.801 1122.1 1789.81
 2277/M_2 223.759 1179.4 1781.67
 2277/M_3 235.278 1152.35 1791.6
 2281/M_1 247.717 1121.27 1787.48
 2281/M_2 233.331 1178.49 1778.29
 2281/M_3 245.04 1151.63 1788.67
 2285/M_1 257.545 1120.91 1785.08
 2285/M_2 242.762 1177.81 1774.74
 2285/M_3 254.714 1151.23 1785.6
 2289/M_1 266.83 1120.28 1782.34
 2289/M_2 251.738 1176.88 1771.29
 2289/M_3 263.448 1150.42 1782.42
 2293/M_1 274.524 1118.86 1779.34
 2293/M_2 259.622 1175.38 1767.99
 2293/M_3 271.477 1149.03 1779.17
 2297/M_1 280.126 1116.82 1775.98
 2297/M_2 265.46 1173.22 1764.5
 2297/M_3 277.107 1146.95 1775.7
 2301/M_1 283.501 1113.87 1772.25
 2301/M_2 269.084 1170.32 1760.97
 2301/M_3 280.59 1143.99 1772.1
 2305/M_1 284.415 1109.69 1768.78
 2305/M_2 270.346 1166.26 1757.65
 2305/M_3 281.656 1139.89 1768.7
 2309/M_1 282.843 1104.38 1765.69
 2309/M_2 269.176 1161.09 1754.71
 2309/M_3 280.347 1134.68 1765.82
 2313/M_1 279.078 1098.24 1763.43
 2313/M_2 266.067 1155.39 1752.71
 2313/M_3 276.631 1128.51 1763.53
 2317/M_1 273.809 1092.52 1762.13
 2317/M_2 261.179 1149.86 1751.49
 2317/M_3 271.626 1122.84 1762.27
 2321/M_1 267.432 1087.67 1762.31
 2321/M_2 254.854 1145.12 1751.44
 2321/M_3 265.426 1118.17 1762.36
 2325/M_1 259.953 1083.96 1763.83
 2325/M_2 247.839 1141.8 1753.1
 2325/M_3 258.565 1114.68 1764.09
 2329/M_1 253.068 1081.97 1767.62
 2329/M_2 240.692 1139.9 1756.58
 2329/M_3 251.44 1112.72 1767.64
 2332/M_1 247.598 1081.4 1771.28
 2332/M_2 235.474 1139.39 1760.34
 2332/M_3 246.125 1112.17 1771.5
 2336/M_1 241.065 1082.1 1777.48
 2336/M_2 228.92 1140.05 1766.36
 2336/M_3 239.543 1112.83 1777.77
 2340/M_1 235.227 1084.25 1784.06
Frame Number: 2340 Latency: 0s  Markers: 3
 2340/M_2 223.224 1142.13 1772.88
 2340/M_3 233.662 1115 1784.39
 2344/M_1 229.847 1087.5 1790.34
 2344/M_2 217.935 1145.31 1778.99
 2344/M_3 228.19 1118.24 1790.66
 2348/M_1 224.491 1091.32 1795.8
 2348/M_2 212.701 1148.95 1784.07
 2348/M_3 223.231 1122.19 1796.11
 2352/M_1 218.535 1095.05 1800.23
 2352/M_2 206.778 1152.64 1788.1
 2352/M_3 216.809 1125.83 1800.37
 2356/M_1 211.862 1098.67 1803.81
 2356/M_2 199.783 1155.84 1791.05
 2356/M_3 209.662 1129.16 1803.61
 2360/M_1 203.66 1101.46 1806.23
Frame Number: 2360 Latency: 0s  Markers: 3
 2360/M_2 191.457 1158.46 1792.98
 2360/M_3 201.266 1131.89 1805.79
 2363/M_1 196.482 1103.13 1807.22
 2363/M_2 184.496 1160.03 1793.76
 2363/M_3 194.241 1133.55 1806.66
 2367/M_1 185.954 1104.73 1807.76
 2367/M_2 174.03 1161.48 1794.13
 2367/M_3 183.747 1135.13 1807.2
 2371/M_1 175.267 1105.63 1808.31
 2371/M_2 162.764 1162.19 1794.24
 2371/M_3 173.101 1136.14 1807.41
 2375/M_1 164.374 1106.3 1808.94
 2375/M_2 150.96 1162.6 1794.56
 2375/M_3 161.631 1136.83 1807.97
 2379/M_1 153.746 1107.17 1810.59
 2379/M_2 139.026 1163.14 1795.62
 2379/M_3 150.571 1137.52 1809.17
 2383/M_1 143.632 1108.46 1813.86
