/M_3	1	1	115.195	1419.49	1141.83
/M_1	1	1	156.398	1432.9	1191.89
/M_2	1	1	138.401	1418.43	1160.04
/M_3	1	1	117.087	1417.64	1141.91
/M_1	1	1	158.757	1430.89	1192.13
/M_2	1	1	141.656	1415.95	1159.89
/M_3	1	1	120.971	1414.66	1141.6
/M_1	1	1	162.552	1427.94	1192.62
/M_2	1	1	147.201	1412.02	1159.52
/M_3	1	1	127.581	1409.56	1140.83
/M_1	1	1	167.228	1422.84	1192.63
/M_2	1	1	154.349	1405.86	1159.23
/M_3	1	1	134.951	1402.2	1140.05
/M_1	1	1	172.999	1415.67	1190.63
11670	1	1	Latency:	0s	Markers:
/M_2	1	1	159.556	1397.88	1159.04
/M_3	1	1	141.147	1394.18	1138.19
/M_1	1	1	178.886	1407.35	1187.71
/M_2	1	1	165.667	1389.22	1155.06
/M_3	1	1	146.861	1385.52	1136.11
/M_1	1	1	182.621	1400.7	1187.91
/M_2	1	1	171.128	1380.54	1154.67
/M_3	1	1	154.271	1376.21	1134.95
/M_1	1	1	187.035	1395.31	1188.58
/M_2	1	1	178.41	1372.31	1156.93
/M_3	1	1	163.865	1365.65	1134.96
/M_1	1	1	190.562	1388.94	1189.4
/M_2	1	1	186.302	1363.45	1159.13
/M_3	1	1	172.137	1355.47	1136.11
/M_1	1	1	195.043	1381.31	1188.64
/M_2	1	1	190.197	1354.59	1160.07
/M_3	1	1	178.073	1345.73	1136.39
/M_1	1	1	199.262	1373.15	1187.7
/M_2	1	1	195.137	1345.56	1158.34
/M_3	1	1	183.161	1335.85	1136.24
/M_1	1	1	202.391	1365.82	1187.62
/M_2	1	1	200.521	1336.49	1159.32
/M_3	1	1	189.459	1325.66	1137.36
/M_1	1	1	204.856	1359.78	1188.64
/M_2	1	1	206.035	1328.53	1162.97
/M_3	1	1	196.09	1315.63	1141.6
/M_1	1	1	207.243	1353.17	1189.26
/M_2	1	1	211.559	1320.73	1165.29
/M_3	1	1	206.207	1307.97	1143.03
/M_1	1	1	210.687	1345.03	1189.18
11700	1	1	Latency:	0s	Markers:
/M_2	1	1	215.343	1311.83	1166.95
/M_3	1	1	206.286	1295.55	1146.72
/M_1	1	1	215.018	1335.5	1188.93
/M_2	1	1	219.438	1301.41	1167.01
/M_3	1	1	210.171	1285.18	1147.54
/M_1	1	1	218.891	1325.79	1188.86
/M_2	1	1	223.234	1291.02	1167.72
/M_3	1	1	215.821	1275.23	1148.42
/M_1	1	1	221.602	1317.16	1189.33
/M_2	1	1	226.352	1281.64	1170.35
/M_3	1	1	219.855	1264.31	1151.47
/M_1	1	1	224.022	1308.19	1189.86
/M_2	1	1	229.786	1272.18	1172.07
/M_3	1	1	223.439	1253.63	1154.23
/M_1	1	1	227.073	1298.31	1190.3
/M_2	1	1	231.791	1261.58	1173.83
/M_3	1	1	225.844	1243.23	1156.07
/M_1	1	1	229.934	1287.58	1190.94
/M_2	1	1	233.555	1250.42	1174.91
/M_3	1	1	226.299	1231.87	1157.49
/M_1	1	1	232.252	1277.55	1191.69
/M_2	1	1	234.923	1240.05	1176.28
/M_3	1	1	227.728	1221.48	1159.21
